"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YDR033W",526.109394517564,3.59813243531048,0.0928952916912061,38.7332056318964,0,0
"YDR077W",4179.92901149241,3.77752034201114,0.0313871515672373,120.352442110555,0,0
"YDR345C",3777.27067551678,1.01048048157509,0.0214132352248095,47.1895288575703,0,0
"YOR153W",954.798507161321,2.49574619795024,0.0578354893519098,43.1525042135367,0,0
"YGL008C",3291.41129231876,1.05316155349949,0.0233962423243432,45.0141325645144,0,0
"YGR192C",26889.525396131,1.12763283255898,0.00743447516041143,151.676185369968,0,0
"YLL026W",1172.62834268491,1.88999651819683,0.048407147205693,39.0437492663181,0,0
"YLR058C",816.880593995117,3.14260778180948,0.0693264900386858,45.3305479630633,0,0
"YPL061W",2424.58531014806,1.4910913256667,0.0296200271470628,50.3406468286967,0,0
"YML123C",901.703635217256,5.05539898317969,0.102427987352045,49.3556411081697,0,0
"YMR120C",530.148365325121,3.69701140372594,0.0951142086653981,38.8691811202639,0,0
"YBR196C",2783.6673450039,1.03336885100123,0.0264317272612019,39.0957745889755,0,0
"YJL052W",1582.09390513418,1.44746821516495,0.0385289337620374,37.5683434196442,0,0
"YHR092C",1359.18683066128,2.472223141404,0.0475761372177975,51.9635112469613,0,0
"YHR174W",16864.0715593928,1.52625787967532,0.00972227187232466,156.985723061289,0,0
"YCL030C",698.35893429972,2.78023124422693,0.0700530362592605,39.6875195236011,0,0
"YFR015C",994.5883991806,3.29438168989657,0.0640396129331119,51.4428732312528,0,0
"YFR053C",1419.8151036345,1.98980327421861,0.0434084748283835,45.8390506021082,0,0
"YAL038W",3253.04608794442,1.67489901567199,0.0247081337256236,67.7873543291954,0,0
"YJR104C",2484.65759042954,1.04392112545545,0.0285470595637475,36.568429162531,9.08571590656903e-293,1.93839049358423e-290
"YGR234W",415.907549628499,4.36501043655563,0.124363385440672,35.0988389475611,7.02136663280115e-270,1.40132888248841e-267
"YLR258W",675.390437796371,2.35753240666205,0.0679519686697307,34.6941001536018,9.6695497697638e-264,1.81289407350087e-261
"YBR067C",502.612598335088,2.68493188760602,0.0809745742683436,33.1577153923448,4.3841164326153e-241,7.53459121349747e-239
"YPR145W",916.253908039873,1.76961828938042,0.0558053720139087,31.7105365580103,1.11207060353717e-220,1.81062653265381e-218
"YKR080W",346.982476728993,3.65883594269117,0.116499715828571,31.4063937123687,1.65497013302317e-216,2.62546159308061e-214
"YPR160W",432.842006405799,2.6622549175434,0.0866705548260056,30.7169479056408,3.38044369569092e-207,5.22870128630993e-205
"YER081W",594.358270569821,-2.94638179539562,0.098984681914216,-29.7660379203832,1.07542549586858e-194,1.58420417689022e-192
"YLR327C",520.828934242877,2.27740091468468,0.076840503386553,29.6380270080743,4.83855296236345e-193,6.96189004142852e-191
"YOL109W",390.450231970092,2.71673880142777,0.0923955368007881,29.4033553513009,4.9751783925578e-190,6.99577925335344e-188
"YNL208W",1597.55883462765,1.0936151290315,0.0377467820411485,28.9724069150936,1.46543604654517e-184,1.97101148260326e-182
"YOL155C",346.681487012972,2.79710075654626,0.0987642114702998,28.3209951753363,1.90590097020094e-176,2.40649169441494e-174
"YGL234W",672.100160222828,1.86955585698187,0.0660200203863452,28.3180139303402,2.07401686030138e-176,2.56638846293692e-174
"YDR342C",309.221743004401,3.16606491482071,0.11195109172991,28.2807864210835,5.95550286864791e-176,7.22484240163227e-174
"YMR122W-A",1409.97038112267,1.12992909750757,0.0414789013266805,27.2410565701451,2.12108753652856e-163,2.43021640527819e-161
"YEL040W",647.251769309427,1.80360689620407,0.0664480448765171,27.1431145875816,3.0531773652831e-162,3.43454697436483e-160
"YOR128C",394.406224198494,2.36085384620344,0.087619159579231,26.9444931626923,6.61815082661729e-160,7.31187485076449e-158
"YPR149W",420.681777242749,2.25246335143007,0.0838659788842827,26.8578913809375,6.82186237230589e-159,7.40471271885203e-157
"YMR008C",373.984288669232,2.38999217696565,0.0894074043020615,26.7314792955078,2.02757224119865e-157,2.12620160276204e-155
"YCL025C",346.616682630508,2.51689313874069,0.0957505845174829,26.28592975619,2.77767798102492e-152,2.81729404403298e-150
"YMR105C",703.14968534966,1.60457767444415,0.06119480512359,26.2208151689268,1.53876605486322e-151,1.53553960990947e-149
"YLR355C",1228.20832582639,1.1890818068957,0.0454367759604964,26.1700303720824,5.83131852196648e-151,5.72672503101692e-149
"YIL169C",242.469257183161,3.54401716348716,0.135692679226056,26.1179688079048,2.27900993772121e-150,2.20316163823142e-148
"YAL061W",285.068873865663,2.70275005461935,0.107370162822648,25.1722637236167,8.0637317124033e-140,7.559137591612e-138
"YLR359W",641.288080753762,1.66040499533096,0.0664844147877948,24.974349261111,1.16167124731136e-137,1.07272537419633e-135
"YAL005C",809.292563113077,1.35844183234822,0.0567646110496663,23.9311396172458,1.45250491226317e-126,1.28380684173889e-124
"YAR015W",368.253048759804,2.07345215087139,0.0872304011641153,23.7698339478044,6.85283812259707e-125,5.8080149951381e-123
"YER011W",187.260036270054,4.21439386969809,0.177362277254041,23.7615006693994,8.35665498719896e-125,6.98684113591892e-123
"YOL158C",320.517968280456,2.25307158524716,0.095651331020264,23.5550468688182,1.11442560931612e-122,9.19326832645178e-121
"YLR413W",331.314599691369,2.17298127721826,0.0923216659765082,23.5370674286921,1.70309111742277e-122,1.38645062414404e-120
"YOL016C",554.253990639175,1.68815405370202,0.0717859109936713,23.5165094422337,2.76482954329183e-122,2.22155849147358e-120
"YDL022W",580.265056211656,1.63128955924685,0.069413498061881,23.5010423735248,3.97985905394234e-122,3.15684461112067e-120
"YGR061C",680.226289783988,1.49884871900825,0.0650377422874232,23.045829487505,1.61959684578611e-117,1.23709205986156e-115
"YKL182W",1018.32336605366,1.16381942527525,0.0506639494996552,22.9713521501748,9.01617928268122e-117,6.80281722218887e-115
"YJL158C",1089.47372548237,1.10117836937002,0.0479788515121652,22.9513282344995,1.42915062887544e-116,1.06531987239185e-114
"YDL229W",650.389043343679,1.45157622314878,0.0635380576263088,22.8457758606038,1.60975805756013e-115,1.18566346453863e-113
"YBR296C",174.269053401094,3.95516462008077,0.174597602538186,22.6530293806053,1.30241625716041e-113,9.4800580977076e-112
